Comment,Emotion,Processed_Comment
i didnt feel humiliated,sadness,not_feel humiliate
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,feel hopeless damned hopeful around someone care awake
im grabbing a minute to post i feel greedy wrong,anger,grab minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,ever feel nostalgic fireplace know still property
i am feeling grouchy,anger,feel grouchy
ive been feeling a little burdened lately wasnt sure why that was,sadness,feel little burden lately not_sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,take milligram time recommend amount fall asleep lot fast also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,fear,feel confused life teenager jade year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,petrona year feel petronas perform well make huge profit
i feel romantic too,love,feel romantic
i feel like i have to make the suffering i m seeing mean something,sadness,feel like make suffering see mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,anger,think easy time year feel dissatisfied
i feel low energy i m just thirsty,sadness,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,immense sympathy general point possible proto writer try find time write corner life sign agent let alone publishing contract feel little precious
i do not feel reassured anxiety is on each side,joy,not_feel reassure anxiety side
i didnt really feel that embarrassed,sadness,not_really feel embarrassed
i feel pretty pathetic most of the time,sadness,feel pretty pathetic time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,start feel sentimental doll child begin collection vintage barbie doll sixty
i now feel compromised and skeptical of the value of every unit of work i put in,fear,feel compromised skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,anger,feel irritated reject without anyone anything say anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,feel completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful
i have the feeling she was amused and delighted,joy,feeling amuse delight
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,anger,already feel like fuck though not_usually eat morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,still love wish good long tolerate effect life fact turn bitter angry person not_alway particularly kind people around feel stress
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,feel inhibited someone else kitchen like paint someone else picture
i become overwhelmed and feel defeated,sadness,become overwhelmed feel defeat
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,feel kinda appal feel like need explain wide lenghth body measure etc
